anio,edad_mujer_grupo,edad_hombre_grupo,valor
2009,15 - 19,15-19,5003
2009,15 - 19,20-24,8524
2009,15 - 19,25-29,2500
2009,15 - 19,30-34,611
2009,15 - 19,35-39,168
2009,15 - 19,40-44,45
2009,15 - 19,45-49,21
2009,15 - 19,50-54,5
2009,15 - 19,55-59,3
2009,15 - 19,60-64,4
2009,15 - 19,65 y más,7
2009,15 - 19,Ignorado,405
2009,15 - 19,Menos de 15,0
2009,20 - 24,15-19,1652
2009,20 - 24,20-24,9290
2009,20 - 24,25-29,5978
2009,20 - 24,30-34,1578
2009,20 - 24,35-39,456
2009,20 - 24,40-44,131
2009,20 - 24,45-49,61
2009,20 - 24,50-54,42
2009,20 - 24,55-59,12
2009,20 - 24,60-64,11
2009,20 - 24,65 y más,9
2009,20 - 24,Ignorado,325
2009,20 - 24,Menos de 15,0
2009,25 - 29,15-19,226
2009,25 - 29,20-24,1908
2009,25 - 29,25-29,4152
2009,25 - 29,30-34,2503
2009,25 - 29,35-39,751
2009,25 - 29,40-44,257
2009,25 - 29,45-49,111
2009,25 - 29,50-54,48
2009,25 - 29,55-59,23
2009,25 - 29,60-64,22
2009,25 - 29,65 y más,12
2009,25 - 29,Ignorado,151
2009,25 - 29,Menos de 15,0
2009,30 - 34,15-19,31
2009,30 - 34,20-24,346
2009,30 - 34,25-29,880
2009,30 - 34,30-34,1669
2009,30 - 34,35-39,1010
2009,30 - 34,40-44,354
2009,30 - 34,45-49,141
2009,30 - 34,50-54,78
2009,30 - 34,55-59,53
2009,30 - 34,60-64,22
2009,30 - 34,65 y más,26
2009,30 - 34,Ignorado,62
2009,30 - 34,Menos de 15,0
2009,35 - 39,15-19,5
2009,35 - 39,20-24,74
2009,35 - 39,25-29,164
2009,35 - 39,30-34,413
2009,35 - 39,35-39,722
2009,35 - 39,40-44,548
2009,35 - 39,45-49,253
2009,35 - 39,50-54,118
2009,35 - 39,55-59,58
2009,35 - 39,60-64,34
2009,35 - 39,65 y más,27
2009,35 - 39,Ignorado,29
2009,35 - 39,Menos de 15,0
2009,40 - 44,15-19,3
2009,40 - 44,20-24,17
2009,40 - 44,25-29,39
2009,40 - 44,30-34,74
2009,40 - 44,35-39,186
2009,40 - 44,40-44,353
2009,40 - 44,45-49,334
2009,40 - 44,50-54,151
2009,40 - 44,55-59,73
2009,40 - 44,60-64,49
2009,40 - 44,65 y más,38
2009,40 - 44,Ignorado,22
2009,40 - 44,Menos de 15,0
2009,45 - 49,15-19,1
2009,45 - 49,20-24,8
2009,45 - 49,25-29,11
2009,45 - 49,30-34,21
2009,45 - 49,35-39,41
2009,45 - 49,40-44,116
2009,45 - 49,45-49,295
2009,45 - 49,50-54,274
2009,45 - 49,55-59,149
2009,45 - 49,60-64,80
2009,45 - 49,65 y más,67
2009,45 - 49,Ignorado,17
2009,45 - 49,Menos de 15,0
2009,50 - 54,15-19,0
2009,50 - 54,20-24,2
2009,50 - 54,25-29,3
2009,50 - 54,30-34,9
2009,50 - 54,35-39,10
2009,50 - 54,40-44,35
2009,50 - 54,45-49,72
2009,50 - 54,50-54,202
2009,50 - 54,55-59,211
2009,50 - 54,60-64,131
2009,50 - 54,65 y más,79
2009,50 - 54,Ignorado,15
2009,50 - 54,Menos de 15,0
2009,55 - 59,15-19,0
2009,55 - 59,20-24,0
2009,55 - 59,25-29,0
2009,55 - 59,30-34,1
2009,55 - 59,35-39,5
2009,55 - 59,40-44,9
2009,55 - 59,45-49,17
2009,55 - 59,50-54,57
2009,55 - 59,55-59,140
2009,55 - 59,60-64,223
2009,55 - 59,65 y más,100
2009,55 - 59,Ignorado,14
2009,55 - 59,Menos de 15,0
2009,60 - 64,15-19,0
2009,60 - 64,20-24,0
2009,60 - 64,25-29,0
2009,60 - 64,30-34,1
2009,60 - 64,35-39,0
2009,60 - 64,40-44,3
2009,60 - 64,45-49,4
2009,60 - 64,50-54,8
2009,60 - 64,55-59,36
2009,60 - 64,60-64,107
2009,60 - 64,65 y más,179
2009,60 - 64,Ignorado,3
2009,60 - 64,Menos de 15,0
2009,65 y más,15-19,1
2009,65 y más,20-24,3
2009,65 y más,25-29,1
2009,65 y más,30-34,0
2009,65 y más,35-39,1
2009,65 y más,40-44,1
2009,65 y más,45-49,2
2009,65 y más,50-54,5
2009,65 y más,55-59,20
2009,65 y más,60-64,41
2009,65 y más,65 y más,413
2009,65 y más,Ignorado,7
2009,65 y más,Menos de 15,0
2009,Ignorado,15-19,252
2009,Ignorado,20-24,593
2009,Ignorado,25-29,271
2009,Ignorado,30-34,113
2009,Ignorado,35-39,51
2009,Ignorado,40-44,31
2009,Ignorado,45-49,29
2009,Ignorado,50-54,13
2009,Ignorado,55-59,8
2009,Ignorado,60-64,12
2009,Ignorado,65 y más,20
2009,Ignorado,Ignorado,1173
2009,Ignorado,Menos de 15,0
2009,Menos de 15,15-19,388
2009,Menos de 15,20-24,311
2009,Menos de 15,25-29,70
2009,Menos de 15,30-34,28
2009,Menos de 15,35-39,1
2009,Menos de 15,40-44,1
2009,Menos de 15,45-49,3
2009,Menos de 15,50-54,0
2009,Menos de 15,55-59,0
2009,Menos de 15,60-64,1
2009,Menos de 15,65 y más,0
2009,Menos de 15,Ignorado,23
2009,Menos de 15,Menos de 15,0
2010,15 - 19,15-19,5857
2010,15 - 19,20-24,9948
2010,15 - 19,25-29,3004
2010,15 - 19,30-34,702
2010,15 - 19,35-39,172
2010,15 - 19,40-44,62
2010,15 - 19,45-49,26
2010,15 - 19,50-54,8
2010,15 - 19,55-59,7
2010,15 - 19,60-64,4
2010,15 - 19,65 y más,2
2010,15 - 19,Ignorado,40
2010,15 - 19,Menos de 15,7
2010,20 - 24,15-19,1820
2010,20 - 24,20-24,10912
2010,20 - 24,25-29,7230
2010,20 - 24,30-34,1990
2010,20 - 24,35-39,578
2010,20 - 24,40-44,169
2010,20 - 24,45-49,67
2010,20 - 24,50-54,42
2010,20 - 24,55-59,9
2010,20 - 24,60-64,6
2010,20 - 24,65 y más,7
2010,20 - 24,Ignorado,34
2010,20 - 24,Menos de 15,5
2010,25 - 29,15-19,236
2010,25 - 29,20-24,2388
2010,25 - 29,25-29,5173
2010,25 - 29,30-34,3258
2010,25 - 29,35-39,905
2010,25 - 29,40-44,307
2010,25 - 29,45-49,144
2010,25 - 29,50-54,62
2010,25 - 29,55-59,31
2010,25 - 29,60-64,19
2010,25 - 29,65 y más,14
2010,25 - 29,Ignorado,17
2010,25 - 29,Menos de 15,0
2010,30 - 34,15-19,39
2010,30 - 34,20-24,395
2010,30 - 34,25-29,1299
2010,30 - 34,30-34,2254
2010,30 - 34,35-39,1392
2010,30 - 34,40-44,503
2010,30 - 34,45-49,217
2010,30 - 34,50-54,103
2010,30 - 34,55-59,39
2010,30 - 34,60-64,32
2010,30 - 34,65 y más,36
2010,30 - 34,Ignorado,16
2010,30 - 34,Menos de 15,0
2010,35 - 39,15-19,8
2010,35 - 39,20-24,83
2010,35 - 39,25-29,199
2010,35 - 39,30-34,531
2010,35 - 39,35-39,986
2010,35 - 39,40-44,725
2010,35 - 39,45-49,315
2010,35 - 39,50-54,141
2010,35 - 39,55-59,63
2010,35 - 39,60-64,41
2010,35 - 39,65 y más,40
2010,35 - 39,Ignorado,6
2010,35 - 39,Menos de 15,0
2010,40 - 44,15-19,1
2010,40 - 44,20-24,16
2010,40 - 44,25-29,45
2010,40 - 44,30-34,115
2010,40 - 44,35-39,263
2010,40 - 44,40-44,530
2010,40 - 44,45-49,502
2010,40 - 44,50-54,240
2010,40 - 44,55-59,101
2010,40 - 44,60-64,72
2010,40 - 44,65 y más,64
2010,40 - 44,Ignorado,5
2010,40 - 44,Menos de 15,0
2010,45 - 49,15-19,2
2010,45 - 49,20-24,6
2010,45 - 49,25-29,15
2010,45 - 49,30-34,32
2010,45 - 49,35-39,64
2010,45 - 49,40-44,143
2010,45 - 49,45-49,521
2010,45 - 49,50-54,495
2010,45 - 49,55-59,219
2010,45 - 49,60-64,101
2010,45 - 49,65 y más,92
2010,45 - 49,Ignorado,4
2010,45 - 49,Menos de 15,0
2010,50 - 54,15-19,1
2010,50 - 54,20-24,2
2010,50 - 54,25-29,2
2010,50 - 54,30-34,8
2010,50 - 54,35-39,22
2010,50 - 54,40-44,39
2010,50 - 54,45-49,108
2010,50 - 54,50-54,366
2010,50 - 54,55-59,399
2010,50 - 54,60-64,209
2010,50 - 54,65 y más,116
2010,50 - 54,Ignorado,0
2010,50 - 54,Menos de 15,0
2010,55 - 59,15-19,0
2010,55 - 59,20-24,0
2010,55 - 59,25-29,0
2010,55 - 59,30-34,4
2010,55 - 59,35-39,6
2010,55 - 59,40-44,6
2010,55 - 59,45-49,23
2010,55 - 59,50-54,78
2010,55 - 59,55-59,265
2010,55 - 59,60-64,348
2010,55 - 59,65 y más,200
2010,55 - 59,Ignorado,2
2010,55 - 59,Menos de 15,0
2010,60 - 64,15-19,0
2010,60 - 64,20-24,1
2010,60 - 64,25-29,0
2010,60 - 64,30-34,0
2010,60 - 64,35-39,1
2010,60 - 64,40-44,1
2010,60 - 64,45-49,8
2010,60 - 64,50-54,15
2010,60 - 64,55-59,72
2010,60 - 64,60-64,200
2010,60 - 64,65 y más,327
2010,60 - 64,Ignorado,0
2010,60 - 64,Menos de 15,0
2010,65 y más,15-19,0
2010,65 y más,20-24,0
2010,65 y más,25-29,0
2010,65 y más,30-34,0
2010,65 y más,35-39,0
2010,65 y más,40-44,3
2010,65 y más,45-49,2
2010,65 y más,50-54,4
2010,65 y más,55-59,17
2010,65 y más,60-64,67
2010,65 y más,65 y más,670
2010,65 y más,Ignorado,1
2010,65 y más,Menos de 15,0
2010,Ignorado,15-19,10
2010,Ignorado,20-24,32
2010,Ignorado,25-29,15
