anio,edad_mujer_grupo,edad_hombre_grupo,valor
2009,15 - 19,15-19,191
2009,15 - 19,20-24,289
2009,15 - 19,25-29,78
2009,15 - 19,30-34,18
2009,15 - 19,35-39,25
2009,15 - 19,40-44,6
2009,15 - 19,45-49,3
2009,15 - 19,50-54,0
2009,15 - 19,55-59,0
2009,15 - 19,60 y más,0
2009,15 - 19,Ignorado,57
2009,15 - 19,Menos de 15,0
2009,20 - 24,15-19,48
2009,20 - 24,20-24,243
2009,20 - 24,25-29,161
2009,20 - 24,30-34,47
2009,20 - 24,35-39,16
2009,20 - 24,40-44,11
2009,20 - 24,45-49,6
2009,20 - 24,50-54,2
2009,20 - 24,55-59,4
2009,20 - 24,60 y más,0
2009,20 - 24,Ignorado,43
2009,20 - 24,Menos de 15,0
2009,25 - 29,15-19,12
2009,25 - 29,20-24,49
2009,25 - 29,25-29,80
2009,25 - 29,30-34,54
2009,25 - 29,35-39,24
2009,25 - 29,40-44,9
2009,25 - 29,45-49,6
2009,25 - 29,50-54,2
2009,25 - 29,55-59,0
2009,25 - 29,60 y más,1
2009,25 - 29,Ignorado,16
2009,25 - 29,Menos de 15,0
2009,30 - 34,15-19,3
2009,30 - 34,20-24,17
2009,30 - 34,25-29,16
2009,30 - 34,30-34,28
2009,30 - 34,35-39,25
2009,30 - 34,40-44,7
2009,30 - 34,45-49,4
2009,30 - 34,50-54,1
2009,30 - 34,55-59,2
2009,30 - 34,60 y más,1
2009,30 - 34,Ignorado,11
2009,30 - 34,Menos de 15,0
2009,35 - 39,15-19,4
2009,35 - 39,20-24,7
2009,35 - 39,25-29,10
2009,35 - 39,30-34,6
2009,35 - 39,35-39,20
2009,35 - 39,40-44,21
2009,35 - 39,45-49,5
2009,35 - 39,50-54,5
2009,35 - 39,55-59,1
2009,35 - 39,60 y más,1
2009,35 - 39,Ignorado,3
2009,35 - 39,Menos de 15,0
2009,40 - 44,15-19,0
2009,40 - 44,20-24,6
2009,40 - 44,25-29,4
2009,40 - 44,30-34,3
2009,40 - 44,35-39,5
2009,40 - 44,40-44,18
2009,40 - 44,45-49,14
2009,40 - 44,50-54,5
2009,40 - 44,55-59,5
2009,40 - 44,60 y más,0
2009,40 - 44,Ignorado,3
2009,40 - 44,Menos de 15,0
2009,45 - 49,15-19,0
2009,45 - 49,20-24,3
2009,45 - 49,25-29,0
2009,45 - 49,30-34,0
